class_id,class_name,things_concept_id,image_id,image_path,sha256,excluded_eeg_image
0,aircraft carrier,00010_aircraft_carrier,00010_aircraft_carrier/aircraft_carrier_01b.jpg,object_images/aircraft_carrier/aircraft_carrier_01b.jpg,10adc437fbfd075b30bd6a09df98dea6ed1837e5bcca5a33b97a818ddc4bcfae,aircraft_carrier_06s.jpg
0,aircraft carrier,00010_aircraft_carrier,00010_aircraft_carrier/aircraft_carrier_02s.jpg,object_images/aircraft_carrier/aircraft_carrier_02s.jpg,31dfed9c4091fbf2369c87e7e0848806b4772db254f3c35c4adca467cc4f5e2f,aircraft_carrier_06s.jpg
0,aircraft carrier,00010_aircraft_carrier,00010_aircraft_carrier/aircraft_carrier_03s.jpg,object_images/aircraft_carrier/aircraft_carrier_03s.jpg,d97541888dfbd878f3c1a42d252ff511e99250b9fb9b811ac17da8ef2db637a1,aircraft_carrier_06s.jpg
0,aircraft carrier,00010_aircraft_carrier,00010_aircraft_carrier/aircraft_carrier_04s.jpg,object_images/aircraft_carrier/aircraft_carrier_04s.jpg,8d7097b4c8efdd03634ce96cec8341a6d0b2582e688122a294469bf605458984,aircraft_carrier_06s.jpg
0,aircraft carrier,00010_aircraft_carrier,00010_aircraft_carrier/aircraft_carrier_05s.jpg,object_images/aircraft_carrier/aircraft_carrier_05s.jpg,ee93367504778ce68b39827fb13e4efec6a82cdcdf3a4e9d14ecf8d6af09b545,aircraft_carrier_06s.jpg
0,aircraft carrier,00010_aircraft_carrier,00010_aircraft_carrier/aircraft_carrier_07s.jpg,object_images/aircraft_carrier/aircraft_carrier_07s.jpg,abe0357d94337447cb65bbfd79dd238fa405f670c73d854e6586643306504d1c,aircraft_carrier_06s.jpg
0,aircraft carrier,00010_aircraft_carrier,00010_aircraft_carrier/aircraft_carrier_08s.jpg,object_images/aircraft_carrier/aircraft_carrier_08s.jpg,36c7be94e22b257fb699f7173de05c65b9e15c24a031d7e1622464b098ca3925,aircraft_carrier_06s.jpg
0,aircraft carrier,00010_aircraft_carrier,00010_aircraft_carrier/aircraft_carrier_09s.jpg,object_images/aircraft_carrier/aircraft_carrier_09s.jpg,a5833e55257add9a56ea1ac74e32e509db32c4de64411c45f25489022586d705,aircraft_carrier_06s.jpg
0,aircraft carrier,00010_aircraft_carrier,00010_aircraft_carrier/aircraft_carrier_10s.jpg,object_images/aircraft_carrier/aircraft_carrier_10s.jpg,780fe2631a4bf5c05d2aa594517c658cbddec91b0d1c0c9d4e74f0104511b5fc,aircraft_carrier_06s.jpg
0,aircraft carrier,00010_aircraft_carrier,00010_aircraft_carrier/aircraft_carrier_11s.jpg,object_images/aircraft_carrier/aircraft_carrier_11s.jpg,bf4e998c290bb750c1e3a5b081f1677d42daec8c56f5ef84ce3665c9cf93ab11,aircraft_carrier_06s.jpg
