split,eeg_row_index,class_id,stimulus_id,image_path,class_name
seen,0,0,stim-train00001,training_images/00001_aardvark/aardvark_01b.jpg,aardvark
seen,1,0,stim-train00002,training_images/00001_aardvark/aardvark_02s.jpg,aardvark
seen,2,0,stim-train00003,training_images/00001_aardvark/aardvark_03s.jpg,aardvark
seen,3,0,stim-train00004,training_images/00001_aardvark/aardvark_04s.jpg,aardvark
seen,4,0,stim-train00005,training_images/00001_aardvark/aardvark_05s.jpg,aardvark
seen,5,0,stim-train00006,training_images/00001_aardvark/aardvark_06s.jpg,aardvark
seen,6,0,stim-train00007,training_images/00001_aardvark/aardvark_07s.jpg,aardvark
seen,7,0,stim-train00008,training_images/00001_aardvark/aardvark_08s.jpg,aardvark
seen,8,0,stim-train00009,training_images/00001_aardvark/aardvark_09s.jpg,aardvark
seen,9,0,stim-train00010,training_images/00001_aardvark/aardvark_10s.jpg,aardvark
seen,10,1,stim-train00011,training_images/00002_abacus/abacus_01b.jpg,abacus
seen,11,1,stim-train00012,training_images/00002_abacus/abacus_02s.jpg,abacus
seen,12,1,stim-train00013,training_images/00002_abacus/abacus_03s.jpg,abacus
seen,13,1,stim-train00014,training_images/00002_abacus/abacus_04s.jpg,abacus
seen,14,1,stim-train00015,training_images/00002_abacus/abacus_05s.jpg,abacus
seen,15,1,stim-train00016,training_images/00002_abacus/abacus_06s.jpg,abacus
seen,16,1,stim-train00017,training_images/00002_abacus/abacus_07s.jpg,abacus
seen,17,1,stim-train00018,training_images/00002_abacus/abacus_08s.jpg,abacus
seen,18,1,stim-train00019,training_images/00002_abacus/abacus_09s.jpg,abacus
seen,19,1,stim-train00020,training_images/00002_abacus/abacus_10s.jpg,abacus
seen,20,2,stim-train00021,training_images/00003_accordion/accordion_01b.jpg,accordion
seen,21,2,stim-train00022,training_images/00003_accordion/accordion_02s.jpg,accordion
seen,22,2,stim-train00023,training_images/00003_accordion/accordion_03s.jpg,accordion
seen,23,2,stim-train00024,training_images/00003_accordion/accordion_04s.jpg,accordion
seen,24,2,stim-train00025,training_images/00003_accordion/accordion_05s.jpg,accordion
seen,25,2,stim-train00026,training_images/00003_accordion/accordion_06s.jpg,accordion
seen,26,2,stim-train00027,training_images/00003_accordion/accordion_07s.jpg,accordion
